Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
4407,"4+ BHK 3686 Sq.ft, Villa for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4+ Bedrooms,5 Bathrooms,3686 Sq.ft Built Up(342.80 Sq.m),"Feb 28, 2026 Available From",₹5.30 Crores
4408,"2 BHK 1320 Sqft Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,1320 Sq.ft Built Up(122.76 Sq.m),"Nov 23, 2024 Available From",₹1.40 Crores
4409,"3 BHK 2028 Sqft Apartment for Sale in Seegehalli, Bangalore","Seegehalli, Bangalore",3 Bedrooms,3 Bathrooms,2028 Sq.ft Built Up(188.60 Sq.m),"Jan 21, 2025 Available From",₹2.02 Crores
4410,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,1535 Sq.ft Built Up(142.75 Sq.m),"Dec 24, 2027 Available From",₹1.30 Crores
4411,"2 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1030 Sq.ft Built Up(95.79 Sq.m),"Jul 24, 2025 Available From",₹65 Lakhs
4412,"2 BHK Apartment for Sale in Ramamurthy Nagar, Bangalore","Ramamurthy Nagar, Bangalore",2 Bedrooms,2 Bathrooms,835 Sq.ft Built Up(77.66 Sq.m),"Mar 21, 2025 Available From",₹38 Lakhs
4413,"1 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",1 Bedroom,1 Bathroom,763 Sq.ft Built Up(70.96 Sq.m),"Feb 14, 2025 Available From",₹69.01 Lakhs
4414,"2 BHK Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",2 Bedrooms,2 Bathrooms,955 Sq.ft Built Up(88.81 Sq.m),"Jul 4, 2030 Available From",₹78 Lakhs
4415,"2 BHK Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",2 Bedrooms,2 Bathrooms,1050 Sq.ft Built Up(97.65 Sq.m),"Sep 18, 2024 Available From",₹1.05 Crores
4416,"1 BHK Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",1 Bedroom,1 Bathroom,631 Sq.ft Built Up(58.68 Sq.m),"Jun 25, 2027 Available From",₹41 Lakhs
4417,"2 BHK Apartment for Sale in Koramangala, Bangalore","Koramangala, Bangalore",2 Bedrooms,2 Bathrooms,1150 Sq.ft Built Up(106.95 Sq.m),"Sep 18, 2024 Available From",₹1.25 Crores
4418,"3 BHK Apartment for Sale in Yeshwanthpur, Bangalore","Yeshwanthpur, Bangalore",3 Bedrooms,3 Bathrooms,1702 Sq.ft Built Up(158.29 Sq.m),"Aug 3, 2026 Available From",₹1.25 Crores
4419,"2 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",2 Bedrooms,2 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Oct 21, 2030 Available From",₹85.50 Lakhs
4420,"3 BHK Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,1735 Sq.ft Built Up(161.35 Sq.m),"Aug 1, 2028 Available From",₹1.04 Crores
4421,"2 BHK Apartment for Sale in Hoodi, Bangalore","Hoodi, Bangalore",2 Bedrooms,2 Bathrooms,1200 Sq.ft Built Up(111.60 Sq.m),"Nov 24, 2028 Available From",₹65 Lakhs
4422,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1376 Sq.ft Built Up(127.97 Sq.m),"Jun 21, 2027 Available From",₹1.35 Crores
4423,"2 BHK Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",2 Bedrooms,2 Bathrooms,1097 Sq.ft Built Up(102.02 Sq.m),"Sep 18, 2024 Available From",₹1.50 Crores
4424,"3 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",3 Bedrooms,3 Bathrooms,1577 Sq.ft Built Up(146.66 Sq.m),"Sep 18, 2024 Available From",₹1.04 Crores
4425,"2 BHK Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",2 Bedrooms,2 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Apr 7, 2030 Available From",₹75 Lakhs
4426,"3 BHK 1435 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1435 Sq.ft Built Up(133.46 Sq.m),"Dec 6, 2024 Available From",₹1.11 Crores
4427,"2 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",2 Bedrooms,1 Bathroom,1319 Sq.ft Built Up(122.67 Sq.m),"Dec 30, 2025 Available From",₹1.07 Crores
4428,"3 BHK 1744 Sqft Apartment for Sale in Kannamangala, Bangalore","Kannamangala, Bangalore",3 Bedrooms,3 Bathrooms,1744 Sq.ft Built Up(162.19 Sq.m),"Jan 21, 2025 Available From",₹1.58 Crores
4429,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,1380 Sq.ft Built Up(128.34 Sq.m),"Aug 31, 2028 Available From",₹1.75 Crores
4430,"3 BHK 2000 Sqft Villa for Sale in Anekal, Bangalore","Anekal, Bangalore",3 Bedrooms,3 Bathrooms,2000 Sq.ft Built Up(186.00 Sq.m),"Dec 6, 2024 Available From",₹1.60 Crores
4431,"1 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",1 Bedroom,1 Bathroom,529 Sq.ft Built Up(49.20 Sq.m),"Feb 19, 2029 Available From",₹40.92 Lakhs
4432,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1638 Sq.ft Built Up(152.33 Sq.m),"Jul 3, 2029 Available From",₹1.41 Crores
4433,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1567 Sq.ft Built Up(145.73 Sq.m),"Nov 4, 2030 Available From",₹1.95 Crores
4434,"2 BHK Apartment for Sale in Hennur Road, Bangalore","Hennur Road, Bangalore",2 Bedrooms,2 Bathrooms,938 Sq.ft Built Up(87.23 Sq.m),"Sep 8, 2030 Available From",₹72.90 Lakhs
4435,"1 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",1 Bedroom,1 Bathroom,531 Sq.ft Built Up(49.38 Sq.m),"Mar 9, 2025 Available From",₹26.55 Lakhs
4436,"3 BHK Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,1810 Sq.ft Built Up(168.33 Sq.m),"Jul 20, 2025 Available From",₹1.66 Crores
4437,"2 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1315 Sq.ft Built Up(122.30 Sq.m),"Mar 27, 2027 Available From",₹1.25 Crores
4438,"3 BHK Apartment for Sale in Uttarahalli, Bangalore","Uttarahalli, Bangalore",3 Bedrooms,3 Bathrooms,1472 Sq.ft Built Up(136.90 Sq.m),"Jul 12, 2025 Available From",₹1.98 Crores
4439,"3 BHK Apartment for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",3 Bedrooms,3 Bathrooms,1454 Sq.ft Built Up(135.22 Sq.m),"Oct 23, 2030 Available From",₹79.97 Lakhs
4440,"1 BHK Apartment for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",1 Bedroom,1 Bathroom,600 Sq.ft Built Up(55.80 Sq.m),"Nov 3, 2026 Available From",₹41.74 Lakhs
4441,"2 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,810 Sq.ft Built Up(75.33 Sq.m),"Aug 16, 2025 Available From",₹35 Lakhs
4442,"4+ BHK 4196 Sqft Villa for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,4 Bathrooms,4196 Sq.ft Built Up(390.23 Sq.m),"Dec 31, 2027 Available From",₹4.60 Crores
4443,"2 BHK Apartment for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",2 Bedrooms,2 Bathrooms,1614 Sq.ft Built Up(150.10 Sq.m),"Dec 31, 2028 Available From",₹1.45 Crores
4444,"2 BHK 1223 Sq.ft, Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,1 Bathroom,1223 Sq.ft Built Up(113.74 Sq.m),"Jun 23, 2027 Available From",₹1.33 Crores
4445,"3 BHK Apartment for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",3 Bedrooms,3 Bathrooms,1400 Sq.ft Built Up(130.20 Sq.m),"Dec 6, 2024 Available From",₹1.34 Crores
4446,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,1 Bathroom,1996 Sq.ft Built Up(185.63 Sq.m),"Dec 31, 2028 Available From",₹1.55 Crores
4447,"2 BHK Apartment for Sale in Budigere, Bangalore","Budigere, Bangalore",2 Bedrooms,2 Bathrooms,1088 Sq.ft Built Up(101.18 Sq.m),"Jun 13, 2026 Available From",₹1.15 Crores
4448,"2 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,897 Sq.ft Built Up(83.42 Sq.m),"Feb 28, 2028 Available From",₹38.12 Lakhs
4449,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1700 Sq.ft Built Up(158.10 Sq.m),"Nov 12, 2030 Available From",₹1.38 Crores
4450,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1717 Sq.ft Built Up(159.68 Sq.m),"Aug 10, 2027 Available From",₹1.85 Crores
4451,"3 BHK Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,1320 Sq.ft Built Up(122.76 Sq.m),"Mar 20, 2028 Available From",₹81.38 Lakhs
4452,"3 BHK Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",3 Bedrooms,3 Bathrooms,1680 Sq.ft Built Up(156.24 Sq.m),"Oct 18, 2028 Available From",₹59.79 Lakhs
4453,"3 BHK Apartment for Sale in Hosa Road, Bangalore","Hosa Road, Bangalore",3 Bedrooms,3 Bathrooms,1300 Sq.ft Built Up(120.90 Sq.m),"Apr 13, 2028 Available From",₹70 Lakhs
4454,"3 BHK Apartment for Sale in Hennur Road, Bangalore","Hennur Road, Bangalore",3 Bedrooms,3 Bathrooms,1486 Sq.ft Built Up(138.20 Sq.m),"Sep 18, 2024 Available From",₹1.99 Crores
4455,"1 BHK Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",1 Bedroom,1 Bathroom,690 Sq.ft Built Up(64.17 Sq.m),"Apr 15, 2027 Available From",₹42.99 Lakhs
4456,"3 BHK Apartment for Sale in Banashankari 6th Stage, Bangalore","Banashankari 6th Stage, Bangalore",3 Bedrooms,3 Bathrooms,1556 Sq.ft Built Up(144.71 Sq.m),"Jun 9, 2027 Available From",₹1.11 Crores
4457,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Sep 6, 2030 Available From",₹60.50 Lakhs
4458,"3 BHK Apartment for Sale in Gummanahalli, Bangalore","Gummanahalli, Bangalore",3 Bedrooms,3 Bathrooms,971 Sq.ft Built Up(90.30 Sq.m),"Sep 11, 2028 Available From",₹56.94 Lakhs
4459,"3 BHK Apartment for Sale in Bagaluru, Bangalore","Bagaluru, Bangalore",3 Bedrooms,3 Bathrooms,1409 Sq.ft Built Up(131.04 Sq.m),"Aug 9, 2027 Available From",₹99 Lakhs
4460,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1754 Sq.ft Built Up(163.12 Sq.m),"Dec 29, 2028 Available From",₹1.98 Crores
4461,"3 BHK 1600 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1600 Sq.ft Built Up(148.80 Sq.m),"Dec 31, 2027 Available From",₹1.60 Crores
4462,"3 BHK 1820 Sq.ft, Apartment for Sale in Bellandur, Bangalore","Bellandur, Bangalore",3 Bedrooms,3 Bathrooms,1820 Sq.ft Built Up(169.26 Sq.m),"Jan 29, 2025 Available From",₹2.55 Crores
4463,"1 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",1 Bedroom,1 Bathroom,699 Sq.ft Built Up(65.01 Sq.m),"Apr 25, 2029 Available From",₹46 Lakhs
4464,"2 BHK Apartment for Sale in Haralur Road, Bangalore","Haralur Road, Bangalore",2 Bedrooms,2 Bathrooms,1170 Sq.ft Built Up(108.81 Sq.m),"Aug 3, 2025 Available From",₹80.38 Lakhs
4465,"3 BHK Apartment for Sale in Chandapura, Bangalore","Chandapura, Bangalore",3 Bedrooms,3 Bathrooms,1285 Sq.ft Built Up(119.50 Sq.m),"Jul 6, 2027 Available From",₹70 Lakhs
4466,"3 BHK Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,1640 Sq.ft Built Up(152.52 Sq.m),"Oct 22, 2026 Available From",₹1.55 Crores
4467,"2 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1004 Sq.ft Built Up(93.37 Sq.m),"Sep 17, 2027 Available From",₹84 Lakhs
4468,"3 BHK Apartment for Sale in Bidrahalli, Bangalore","Bidrahalli, Bangalore",3 Bedrooms,3 Bathrooms,1660 Sq.ft Built Up(154.38 Sq.m),"Dec 31, 2027 Available From",₹1.24 Crores
4469,"3 BHK Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",3 Bedrooms,3 Bathrooms,1523 Sq.ft Built Up(141.64 Sq.m),"Mar 25, 2029 Available From",₹1.29 Crores
4470,"3 BHK Apartment for Sale in Attibele, Bangalore","Attibele, Bangalore",3 Bedrooms,3 Bathrooms,1210 Sq.ft Built Up(112.53 Sq.m),"Jan 10, 2027 Available From",₹35.09 Lakhs
4471,"2 BHK Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",2 Bedrooms,2 Bathrooms,900 Sq.ft Built Up(83.70 Sq.m),"Dec 25, 2025 Available From",₹1.10 Crores
4472,"3 BHK Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",3 Bedrooms,3 Bathrooms,1800 Sq.ft Built Up(167.40 Sq.m),"Sep 18, 2024 Available From",₹2.04 Crores
4473,"3 BHK Apartment for Sale in Chikkajala, Bangalore","Chikkajala, Bangalore",3 Bedrooms,3 Bathrooms,1471 Sq.ft Built Up(136.80 Sq.m),"Sep 18, 2024 Available From",₹1.43 Crores
4474,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1665 Sq.ft Built Up(154.84 Sq.m),"Sep 18, 2024 Available From",₹1.70 Crores
4475,"3 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1570 Sq.ft Built Up(146.01 Sq.m),"Sep 18, 2024 Available From",₹1.34 Crores
4476,"3 BHK Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,3954 Sq.ft Built Up(367.72 Sq.m),"Dec 6, 2024 Available From",₹5.39 Crores
4477,"3 BHK 1924 Sqft Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",3 Bedrooms,3 Bathrooms,1924 Sq.ft Built Up(178.93 Sq.m),"Dec 12, 2028 Available From",₹1.42 Crores
4478,"2 BHK 1551 Sqft Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",2 Bedrooms,2 Bathrooms,1551 Sq.ft Built Up(144.24 Sq.m),"Dec 12, 2028 Available From",₹1.11 Crores
4479,"4+ BHK 3200 Sqft Villa for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",4+ Bedrooms,5 Bathrooms,3200 Sq.ft Built Up(297.60 Sq.m),"Nov 23, 2024 Available From",₹4.60 Crores
4480,"4+ BHK Villa for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",4+ Bedrooms,4 Bathrooms,2459 Sq.ft Built Up(228.69 Sq.m),"Dec 10, 2024 Available From",₹3.10 Crores
4481,"2 BHK Apartment for Sale in Devasthanagalu, Bangalore","Devasthanagalu, Bangalore",2 Bedrooms,1 Bathroom,1400 Sq.ft Built Up(130.20 Sq.m),"Jan 8, 2025 Available From",₹97.44 Lakhs
4482,"2 BHK Apartment for Sale in Nagavara, Bangalore","Nagavara, Bangalore",2 Bedrooms,2 Bathrooms,1092 Sq.ft Built Up(101.56 Sq.m),"May 10, 2027 Available From",₹73 Lakhs
4483,"2 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",2 Bedrooms,2 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Nov 26, 2029 Available From",₹47.30 Lakhs
4484,"3 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",3 Bedrooms,3 Bathrooms,1380 Sq.ft Built Up(128.34 Sq.m),"Sep 18, 2024 Available From",₹1.04 Crores
4485,"2 BHK Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",2 Bedrooms,2 Bathrooms,1145 Sq.ft Built Up(106.48 Sq.m),"Mar 9, 2026 Available From",₹65.27 Lakhs
4486,"3 BHK Apartment for Sale in Yelahanka, Bangalore","Yelahanka, Bangalore",3 Bedrooms,3 Bathrooms,1518 Sq.ft Built Up(141.17 Sq.m),"Dec 26, 2029 Available From",₹81 Lakhs
4487,"2 BHK Apartment for Sale in Tumkur Road, Bangalore","Tumkur Road, Bangalore",2 Bedrooms,2 Bathrooms,1085 Sq.ft Built Up(100.91 Sq.m),"Dec 15, 2027 Available From",₹1.65 Crores
4488,"2 BHK Apartment for Sale in Varthur, Bangalore","Varthur, Bangalore",2 Bedrooms,2 Bathrooms,1043 Sq.ft Built Up(97.00 Sq.m),"May 4, 2029 Available From",₹73.70 Lakhs
4489,"3 BHK Apartment for Sale in Kasavanahalli, Bangalore","Kasavanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1490 Sq.ft Built Up(138.57 Sq.m),"Nov 14, 2029 Available From",₹99.83 Lakhs
4490,"2 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1046 Sq.ft Built Up(97.28 Sq.m),"Sep 13, 2028 Available From",₹44.45 Lakhs
4491,"3 BHK Apartment for Sale in Magadi Road, Bangalore","Magadi Road, Bangalore",3 Bedrooms,3 Bathrooms,1630 Sq.ft Built Up(151.59 Sq.m),"Jul 12, 2028 Available From",₹1.90 Crores
4492,"2 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,1009 Sq.ft Built Up(93.84 Sq.m),"Sep 18, 2024 Available From",₹65 Lakhs
4493,"3 BHK Apartment for Sale in Old Madras Road, Bangalore","Old Madras Road, Bangalore",3 Bedrooms,3 Bathrooms,1670 Sq.ft Built Up(155.31 Sq.m),"Sep 18, 2024 Available From",₹1.85 Crores
4494,"4+ BHK 4505 Sqft Villa for Sale in Anekal, Bangalore","Anekal, Bangalore",4+ Bedrooms,5 Bathrooms,4505 Sq.ft Built Up(418.96 Sq.m),"Dec 31, 2027 Available From",₹7.93 Crores
4495,"3 BHK Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,1 Bathroom,1800 Sq.ft Built Up(167.40 Sq.m),"Dec 4, 2024 Available From",₹2.10 Crores
4496,"3 BHK Apartment for Sale in Aavalahalli, Bangalore","Aavalahalli, Bangalore",3 Bedrooms,1 Bathroom,1930 Sq.ft Built Up(179.49 Sq.m),"Jan 6, 2028 Available From",₹2.01 Crores
4497,"3 BHK 1998 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1998 Sq.ft Built Up(185.81 Sq.m),"Dec 30, 2029 Available From",₹2.50 Crores
4498,"3 BHK 2335 Sq.ft, Apartment for Sale in Yeshwanthpur, Bangalore","Yeshwanthpur, Bangalore",3 Bedrooms,3 Bathrooms,2335 Sq.ft Built Up(217.16 Sq.m),"Jan 9, 2025 Available From",₹3.85 Crores
4499,"2 BHK Apartment for Sale in Banashankari, Bangalore","Banashankari, Bangalore",2 Bedrooms,2 Bathrooms,960 Sq.ft Built Up(89.28 Sq.m),"Jun 26, 2028 Available From",₹76 Lakhs
4500,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1334 Sq.ft Built Up(124.06 Sq.m),"Feb 4, 2025 Available From",₹1.17 Crores
4501,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1450 Sq.ft Built Up(134.85 Sq.m),"Aug 25, 2028 Available From",₹1.85 Crores
4502,"3 BHK Apartment for Sale in Haralur Road, Bangalore","Haralur Road, Bangalore",3 Bedrooms,3 Bathrooms,1680 Sq.ft Built Up(156.24 Sq.m),"Nov 13, 2025 Available From",₹1.16 Crores
4503,"2 BHK Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,1115 Sq.ft Built Up(103.69 Sq.m),"Jun 11, 2030 Available From",₹67.30 Lakhs
4504,"2 BHK Apartment for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",2 Bedrooms,2 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Jan 6, 2026 Available From",₹45.10 Lakhs
4505,"1 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",1 Bedroom,1 Bathroom,667 Sq.ft Built Up(62.03 Sq.m),"Oct 6, 2030 Available From",₹49.18 Lakhs
4506,"2 BHK Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",2 Bedrooms,2 Bathrooms,915 Sq.ft Built Up(85.09 Sq.m),"Dec 2, 2029 Available From",₹54.90 Lakhs
4507,"2 BHK Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",2 Bedrooms,2 Bathrooms,1375 Sq.ft Built Up(127.88 Sq.m),"Jan 12, 2029 Available From",₹1.21 Crores
4508,"3 BHK Apartment for Sale in Yeshwanthpur, Bangalore","Yeshwanthpur, Bangalore",3 Bedrooms,3 Bathrooms,1550 Sq.ft Built Up(144.15 Sq.m),"Jun 2, 2027 Available From",₹1.31 Crores
4509,"3 BHK Apartment for Sale in Thanisandra Main Road, Bangalore","Thanisandra Main Road, Bangalore",3 Bedrooms,3 Bathrooms,1582 Sq.ft Built Up(147.13 Sq.m),"Sep 18, 2024 Available From",₹1.70 Crores
4510,"2 BHK Apartment for Sale in Electronic City Phase II, Bangalore","Electronic City Phase II, Bangalore",2 Bedrooms,2 Bathrooms,860 Sq.ft Built Up(79.98 Sq.m),"Sep 26, 2029 Available From",₹58 Lakhs
4511,"2 BHK Apartment for Sale in Hebbal, Bangalore","Hebbal, Bangalore",2 Bedrooms,2 Bathrooms,1145 Sq.ft Built Up(106.48 Sq.m),"Mar 13, 2026 Available From",₹98.78 Lakhs
4512,"2 BHK Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",2 Bedrooms,2 Bathrooms,1109 Sq.ft Built Up(103.14 Sq.m),"Aug 22, 2028 Available From",₹99 Lakhs
4513,"2 BHK 2205 Sqft Apartment for Sale in Hoskote, Bangalore","Hoskote, Bangalore",2 Bedrooms,2 Bathrooms,2205 Sq.ft Built Up(205.06 Sq.m),"Dec 31, 2029 Available From",₹1.96 Crores
4514,"3 BHK 1752 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1752 Sq.ft Built Up(162.94 Sq.m),"Dec 31, 2030 Available From",₹2.46 Crores
4515,"3 BHK 2000 Sqft Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,2000 Sq.ft Built Up(186.00 Sq.m),"Dec 31, 2027 Available From",₹2.40 Crores
4516,"2 BHK 1120 Sq.ft, Apartment for Sale in Chandapura, Bangalore","Chandapura, Bangalore",2 Bedrooms,1 Bathroom,1120 Sq.ft Built Up(104.16 Sq.m),"Mar 31, 2028 Available From",₹1.01 Crores
4517,"4 BHK 3335 Sqft Villa for Sale in Anekal, Bangalore","Anekal, Bangalore",4 Bedrooms,4 Bathrooms,3335 Sq.ft Built Up(310.15 Sq.m),"Oct 6, 2027 Available From",₹5.50 Crores
4518,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1600 Sq.ft Built Up(148.80 Sq.m),"Jan 3, 2025 Available From",₹1.30 Crores
4519,"2 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1137 Sq.ft Built Up(105.74 Sq.m),"Jan 24, 2025 Available From",₹51.16 Lakhs
4520,"1 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",1 Bedroom,1 Bathroom,554 Sq.ft Built Up(51.52 Sq.m),"Apr 8, 2027 Available From",₹40 Lakhs
4521,"2 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",2 Bedrooms,2 Bathrooms,1028 Sq.ft Built Up(95.60 Sq.m),"Jan 23, 2030 Available From",₹75 Lakhs
4522,"3 BHK Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",3 Bedrooms,3 Bathrooms,1485 Sq.ft Built Up(138.10 Sq.m),"May 27, 2030 Available From",₹73.83 Lakhs
4523,"3 BHK Apartment for Sale in Old Madras Road, Bangalore","Old Madras Road, Bangalore",3 Bedrooms,3 Bathrooms,1741 Sq.ft Built Up(161.91 Sq.m),"Feb 24, 2026 Available From",₹1.10 Crores
4524,"3 BHK Apartment for Sale in Old Madras Road, Bangalore","Old Madras Road, Bangalore",3 Bedrooms,3 Bathrooms,1750 Sq.ft Built Up(162.75 Sq.m),"Jul 15, 2029 Available From",₹1.45 Crores
4525,"2 BHK Apartment for Sale in Kanakapura Road, Bangalore","Kanakapura Road, Bangalore",2 Bedrooms,2 Bathrooms,1200 Sq.ft Built Up(111.60 Sq.m),"Apr 22, 2025 Available From",₹70 Lakhs
4526,"3 BHK Apartment for Sale in Hebbal, Bangalore","Hebbal, Bangalore",3 Bedrooms,3 Bathrooms,1665 Sq.ft Built Up(154.84 Sq.m),"Jul 11, 2028 Available From",₹2.15 Crores
4527,"2 BHK Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",2 Bedrooms,2 Bathrooms,1325 Sq.ft Built Up(123.22 Sq.m),"Feb 12, 2025 Available From",₹70 Lakhs
4528,"3 BHK Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,1740 Sq.ft Built Up(161.82 Sq.m),"Sep 24, 2026 Available From",₹98 Lakhs
