Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
3202,"2 BHK 1357 Sq.ft, Apartment for Sale in Chikkagubbi Village, Bangalore","Chikkagubbi Village, Bangalore",2 Bedrooms,2 Bathrooms,1357 Sq.ft Built Up(126.20 Sq.m),"Dec 31, 2027 Available From",₹1.49 Crores
3203,"2 BHK 1009 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,1 Bathroom,1009 Sq.ft Built Up(93.84 Sq.m),"Dec 7, 2024 Available From",₹77.45 Lakhs
3204,"2 BHK 1500 Sq.ft, Apartment for Sale in KR Puram, Bangalore","KR Puram, Bangalore",2 Bedrooms,2 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Jan 13, 2025 Available From",₹2 Crores
3205,"2 BHK 1148 Sqft Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,2 Bathrooms,1148 Sq.ft Built Up(106.76 Sq.m),"Nov 19, 2024 Available From",₹1.35 Crores
3206,"2 BHK 1000 Sqft Apartment for Sale in Sarjapur Road, Bangalore.","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1000 Sq.ft Built Up(93.00 Sq.m),"Dec 31, 2024 Available From",₹36 Lakhs
3207,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,2 Bathrooms,1529 Sq.ft Built Up(142.20 Sq.m),"Oct 22, 2024 Available From",₹1.10 Crores
3208,"3 BHK Apartment for Sale in Hulimavu, Bangalore","Hulimavu, Bangalore",3 Bedrooms,2 Bathrooms,3275 Sq.ft Built Up(304.57 Sq.m),"Oct 22, 2024 Available From",₹3.12 Crores
3209,"4 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,4 Bathrooms,3186 Sq.ft Built Up(296.30 Sq.m),"Oct 22, 2024 Available From",₹5 Crores
3210,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,2 Bathrooms,1647 Sq.ft Built Up(153.17 Sq.m),"Sep 6, 2027 Available From",₹1.92 Crores
3211,"4 BHK 2092 Sq.ft, Villa for Sale in B Narayanapura, Bangalore","B Narayanapura, Bangalore",4 Bedrooms,3 Bathrooms,2092 Sq.ft Built Up(194.56 Sq.m),"Sep 17, 2024 Available From",₹73.79 Lakhs
3212,"4 BHK 2131 Sq.ft, Villa for Sale in Cunningham Road, Bangalore","Cunningham Road, Bangalore",4 Bedrooms,3 Bathrooms,2131 Sq.ft Built Up(198.18 Sq.m),"Sep 17, 2024 Available From",₹94.78 Lakhs
3213,"4 BHK 2204 Sq.ft, Villa for Sale in T Dasarahalli, Bangalore","T Dasarahalli, Bangalore",4 Bedrooms,3 Bathrooms,2204 Sq.ft Built Up(204.97 Sq.m),"Sep 17, 2024 Available From",₹1.30 Crores
3214,"4 BHK 2073 Sq.ft, Villa for Sale in Somapura, Bangalore","Somapura, Bangalore",4 Bedrooms,4 Bathrooms,2073 Sq.ft Built Up(192.79 Sq.m),"Sep 17, 2024 Available From",₹74.45 Lakhs
3215,"4 BHK 1949 Sq.ft, Villa for Sale in Suryanagar, Bangalore","Suryanagar, Bangalore",4 Bedrooms,4 Bathrooms,1949 Sq.ft Built Up(181.26 Sq.m),"Sep 17, 2024 Available From",₹82.17 Lakhs
3216,"4 BHK 2037 Sq.ft, Villa for Sale in Vibhutipura, Bangalore","Vibhutipura, Bangalore",4 Bedrooms,3 Bathrooms,2037 Sq.ft Built Up(189.44 Sq.m),"Sep 17, 2024 Available From",₹79.10 Lakhs
3217,"4 BHK 1885 Sq.ft, Villa for Sale in Devasthanagalu, Bangalore","Devasthanagalu, Bangalore",4 Bedrooms,4 Bathrooms,1885 Sq.ft Built Up(175.31 Sq.m),"Sep 17, 2024 Available From",₹1.32 Crores
3218,"2 BHK 1139 Sqft Apartment for Sale in Thanisandra, Bangalore.","Thanisandra, Bangalore",2 Bedrooms,2 Bathrooms,1139 Sq.ft Built Up(105.93 Sq.m),"Sep 17, 2024 Available From",₹70.62 Lakhs
3219,"4 BHK 1962 Sq.ft, Villa for Sale in Anjanapura Township, Bangalore","Anjanapura Township, Bangalore",4 Bedrooms,3 Bathrooms,1962 Sq.ft Built Up(182.47 Sq.m),"Sep 17, 2024 Available From",₹86.50 Lakhs
3220,"4 BHK 2123 Sq.ft, Villa for Sale in Marsur, Bangalore","Marsur, Bangalore",4 Bedrooms,3 Bathrooms,2123 Sq.ft Built Up(197.44 Sq.m),"Sep 17, 2024 Available From",₹1.33 Crores
3221,"2 BHK 2200 Sq.ft, Villa for Sale in Marathahalli, Bangalore","Marathahalli, Bangalore",2 Bedrooms,1 Bathroom,2200 Sq.ft Built Up(204.60 Sq.m),"Jan 24, 2025 Available From",₹55 Lakhs
3222,"4 BHK Apartment for Sale in Hulimavu, Bangalore","Hulimavu, Bangalore",4 Bedrooms,4 Bathrooms,6202 Sq.ft Built Up(576.79 Sq.m),"Nov 7, 2024 Available From",₹6.25 Crores
3223,"2 BHK 1100 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Nov 19, 2024 Available From",₹1.03 Crores
3224,"3 BHK Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,4210 Sq.ft Built Up(391.53 Sq.m),"Dec 6, 2024 Available From",₹5.71 Crores
